0,51.75,0,0
2392,51.75,185,1000
2392,51.5,185,1000
6443,51.5,185,1000
6443,51.75,185,1000
7449,51.75,185,1000
7449,52.25,185,1000
8461,52.25,185,1000
8461,52.75,185,1000
9466,52.75,185,1000
9466,53.25,185,1000
10479,53.25,185,1000
10479,54.25,185,1000
11491,54.25,185,1000
11491,55,185,1000
12496,55,185,1000
12496,56,185,1000
13501,56,185,1000
13501,57,185,1000
14514,57,185,1000
14514,58,185,1000
15519,58,185,1000
15519,59,185,1000
16531,59,185,1000
16531,60.25,185,1000
17536,60.25,185,1000
17536,61.25,185,1000
18549,61.25,185,1000
18549,62.25,185,1000
19561,62.25,185,1000
19561,63.5,185,1000
20566,63.5,185,1000
20566,64.5,185,1000
21586,64.5,185,1000
21586,65.75,185,1000
22584,65.75,185,1000
22584,66.75,185,1000
23596,66.75,185,1000
23596,68,185,1000
24601,68,185,1000
24601,69,185,1000
25606,69,185,1000
25606,70.25,185,1000
26619,70.25,185,1000
26619,71.25,185,1000
27631,71.25,185,1000
27631,72.5,185,1000
28636,72.5,185,1000
28636,73.75,185,1000
29649,73.75,185,1000
29649,74.75,185,1000
30654,74.75,185,1000
30654,76,185,1000
31666,76,185,1000
31666,77,185,1000
32671,77,185,1000
32671,78.25,185,1000
33684,78.25,185,1000
33684,79.25,185,1000
34689,79.25,185,1000
34689,80.5,185,1000
35701,80.5,185,1000
35701,81.75,185,1000
36706,81.75,185,1000
36706,82.75,185,1000
37719,82.75,185,1000
37719,83.75,185,1000
38731,83.75,185,1000
38731,85,185,1000
39736,85,185,1000
39736,86.25,185,1000
40749,86.25,185,1000
40749,87.25,185,1000
41761,87.25,185,1000
41761,88.5,185,1000
42766,88.5,185,1000
42766,89.5,185,1000
43771,89.5,185,1000
43771,90.5,185,1000
44784,90.5,185,1000
44784,91.75,185,1000
45789,91.75,185,1000
45789,92.75,185,1000
46801,92.75,185,1000
46801,94,185,1000
47806,94,185,1000
47806,95,185,1000
48819,95,185,1000
48819,96.25,185,1000
